app,interactive_runs,q1_packets_per_second,q3_packets_per_second,iqr_packets_per_second,median_packets_per_second,run_ids
BBC News,6,22.58125973225897,53.251590366145855,30.670330633886884,36.06129971807982,"0d59f4ef-1a4e-4da3-88fa-4e8088939e46,21fbdaf6-39f7-446e-bc8b-cc542fda5597,5463c962-016c-4d1e-b81b-661977a76452,5d77ac7f-25d7-4eeb-ab17-d8858a9f4210,63abb795-47c7-4517-a2a5-7ecb712a8798,a7f93c59-307e-45a4-8357-bd0b90f46621"
CNN,7,20.837644586407016,55.87978160649449,35.04213702008747,34.86782039623295,"0f353ecf-ef04-4729-9d5c-e098f2ca5afd,439428e8-af05-490c-9f82-bfe4984aa46c,765ae61a-1967-433c-baa6-b80e5347b20c,84b46fff-3009-4aa3-a7e7-87436b7855fd,86addff3-891d-4e0a-8311-7e3d370f115d,9190dab5-8e17-4317-b17d-0f35cb5e730a,d7f84ff5-a1f5-4895-b7ba-c08ab7da51ad"
Facebook,4,127.91478259884953,191.43513988975167,63.52035729090214,145.4591462606702,"1b37dbc2-d891-44f5-902d-243c6970f52a,57364e51-4e48-419c-bcf4-1793d184f59f,71ee87ee-614a-4045-a704-9e3a0b17ac40,ce203d65-1bf4-4a5e-8250-88a8e4d37e2a"
Facebook Messenger,5,28.945376467493325,118.93186641912796,89.98648995163464,30.0618517059196,"4af635d1-7776-4216-bd63-9c71dd02f442,9e2ab664-ca69-4e61-8d7a-ebac20664f01,dd62d129-5bde-4961-91ed-a1f1e6069a59,f9ca2087-877d-4533-944e-66d4531ac884,ffd5c47f-e0de-4ed4-afe6-9a3f7632acef"
The Guardian,4,11.97398981407558,19.77239635311671,7.798406539041132,13.979044397512595,"4650408e-95c9-41a5-b2a6-24b79c9a2b54,881032b5-61d5-4e7a-8638-8607a95034a5,af792cda-682b-4103-925b-a053b28cff1f,c32d10f5-5d28-49ef-bfe9-3c424ca5823b"
LinkedIn,4,76.65539615416576,180.13356332194527,103.47816716777952,84.53822049398588,"72be35d0-3932-480d-b252-88e5d44d55d9,877deccd-2d6a-47b2-9dc9-04ae899bd5db,9db2b195-05a4-4d18-a85d-38fe9130c975,baa88347-fb99-4ec4-9bc7-a99b77e8a356"
X,4,15.183223168737706,22.678315274600152,7.495092105862446,18.145819421576924,"1305d61c-1498-4991-a215-032a00f12b2b,4826adbf-e7b9-4119-a495-ac30c442e95d,67b3fa18-ac60-4c14-8711-0df566e93608,b25d4153-50e4-472d-8534-cd005af3f698"
WhatsApp,5,20.52917905090964,303.37061048208585,282.8414314311762,207.0112142620072,"1a58612d-70cf-4d48-8cd3-0df5ae1994af,1df0c660-3cb3-4158-a312-86d02abe360d,6e1def29-f200-4edb-a2c1-99194e82ab82,c6236c1f-0360-406e-86a4-21b782cee223,dcf60233-71bc-4fca-8e25-d337ba39ee5b"
TikTok,3,259.01163155853243,308.94971100498526,49.93807944645283,285.685996218215,"2f9d24a9-7835-4947-9760-b6b1d30c465d,c5ea1472-85ab-4927-8e79-39e194ea185c,d4a6050d-f1c0-4ed7-a65b-0875e4367e61"
Telegram,4,33.86288138197217,105.32183583532658,71.45895445335441,61.53948202499808,"1955d4c8-51ec-47d1-87ce-d51b2bfc5b9e,9ee7db5d-853b-456f-80ba-e92c3fb767d9,cb9f71f2-7e41-475a-8af6-98187692e243,e3eddb98-17be-4077-bd47-92d2f134ddaa"
Signal,4,24.111486849801672,219.29346595371445,195.18197910391277,95.76467369435967,"5bacd03a-0030-4f13-97c2-6be4c4bed34a,978b0516-9070-4086-b631-dabecb7a1419,b7d0482c-2c26-4a7e-80fc-68a279e105f6,bdbbbe7f-aeb6-427c-9389-e165e487913e"
